
 ,U1,U2,INV1,INV2,K1,K2,X1,X2,NPVTOT,NPVLAND,NPVOCEAN
T-1         ,1.4488991E+4,  0.00000000,  6.09179474, 24.55070691, 80.00000000,  0.00000000,8.2000000E+5,1.6400000E+6,  0.00000000,  0.00000000,  0.00000000
T-2         ,1.4859290E+4,402.63159258,  6.24651670, 23.88429943, 79.00917947,  2.45507069,8.1855110E+5,1.6400000E+6,  2.35292779,  2.95566500, -0.60273721
T-3         ,1.5179619E+4,782.23595045,  6.40517273, 23.29769209, 78.05364755,  4.76984851,8.1706517E+5,1.6399597E+6,  4.73486157,  5.82644250, -1.09158093
T-4         ,1.5458544E+4,1.1407872E+3,  6.56785646, 22.77792946, 77.13309188,  6.95652227,8.1554721E+5,1.6398815E+6,  7.13676501,  8.61981594, -1.48305093
T-5         ,1.5702730E+4,1.4799917E+3,  6.73467759, 22.31503355, 76.24721568,  9.02561954,8.1400136E+5,1.6397674E+6,  9.55177580, 11.34209036, -1.79031456
T-6         ,1.5917466E+4,1.8013440E+3,  6.90573082, 21.90116187, 75.39573913, 10.98635431,8.1243108E+5,1.6396194E+6, 11.97457197, 13.99864882, -2.02407684
T-7         ,1.6107007E+4,2.1061680E+3,  7.08112714, 21.53004427, 74.57839743, 12.84687987,8.1083934E+5,1.6394393E+6, 14.40095207, 16.59413756, -2.19318548
T-8         ,1.6274831E+4,2.3956471E+3,  7.26098071, 21.19659538, 73.79494220, 14.61447790,8.0922864E+5,1.6392287E+6, 16.82754718, 19.13260268, -2.30505550
T-9         ,1.6423807E+4,2.6708480E+3,  7.44539764, 20.89663986, 73.04514142, 16.29570310,8.0760115E+5,1.6389891E+6, 19.25161827, 21.61759409, -2.36597582
T-10        ,1.6556329E+4,2.9327382E+3,  7.63449737, 20.62671382, 72.32877836, 17.89649600,8.0595877E+5,1.6387220E+6, 21.67091026, 24.05224589, -2.38133563
T-11        ,1.6674410E+4,3.1822010E+3,  7.82841742, 20.38391793, 71.64565253, 19.42227250,8.0430314E+5,1.6384288E+6, 24.08354435, 26.43933952, -2.35579516
T-12        ,1.6779759E+4,3.4200465E+3,  8.02723866, 20.16580724, 70.99558058, 20.87799612,8.0263570E+5,1.6381105E+6, 26.48793728, 28.78135393, -2.29341665
T-13        ,1.6873833E+4,3.6470218E+3,  8.23112936, 19.97030688, 70.37839218, 22.26823696,8.0095772E+5,1.6377685E+6, 28.88274086, 31.08050743, -2.19776657
T-14        ,1.6735267E+4,3.8638179E+3,  8.42596719, 19.78570392, 69.79393661, 23.59722054,7.9927034E+5,1.6374038E+6, 31.26679342, 33.33878974, -2.07199632
T-15        ,1.6567838E+4,4.0709144E+3,  8.61016694, 19.60989186, 69.24065625, 24.86787431,7.9759681E+5,1.6370175E+6, 33.64222304, 35.55465407, -1.91243102
T-16        ,1.6408350E+4,4.2687425E+3,  8.78439485, 19.44244852, 68.71686067, 26.08282727,7.9594003E+5,1.6366104E+6, 36.00918797, 37.72940228, -1.72021431
T-17        ,1.6256357E+4,4.4577144E+3,  8.94926954, 19.28297169, 68.22096403, 27.24458730,7.9429919E+5,1.6361835E+6, 38.36746489, 39.86481184, -1.49734695
T-18        ,1.6111440E+4,4.6382237E+3,  9.10536568, 19.13107834, 67.75147160, 28.35554685,7.9267356E+5,1.6357377E+6, 40.71685645, 41.96256792, -1.24571147
T-19        ,1.5973206E+4,4.8106468E+3,  9.25321759, 18.98640396, 67.30697744, 29.41798828,7.9106241E+5,1.6352739E+6, 43.05718861, 44.02426786, -0.96707925
T-20        ,1.5841286E+4,4.9753430E+3,  9.39332252, 18.84860174, 66.88615825, 30.43408903,7.8946509E+5,1.6347928E+6, 45.38830831, 46.05142560, -0.66311729
T-21        ,1.5715334E+4,5.1326558E+3,  9.52614366, 18.71734190, 66.48776790, 31.40592653,7.8788096E+5,1.6342953E+6, 47.71008139, 48.04547594, -0.33539455
T-22        ,1.5595023E+4,5.2829131E+3,  9.65211282, 18.59231084, 66.11062767, 32.33548293,7.8630943E+5,1.6337820E+6, 50.02239070, 50.00777864,  0.01461206
T-23        ,1.5480046E+4,5.4264283E+3,  9.77163286, 18.47321040, 65.75362612, 33.22464952,7.8474993E+5,1.6332537E+6, 52.32513441, 51.93962233,  0.38551208
T-24        ,1.5370115E+4,5.5635008E+3,  9.88508033, 18.35975723, 65.41571862, 34.07523108,7.8320192E+5,1.6327111E+6, 54.61822456, 53.84222827,  0.77599628
T-25        ,1.5264957E+4,5.6944165E+3,  9.99280820, 18.25168196, 65.09591157, 34.88894987,7.8166491E+5,1.6321547E+6, 56.90158560, 55.71675399,  1.18483161
T-26        ,1.5164316E+4,5.8194486E+3, 10.09514739, 18.14872856, 64.79327263, 35.66744957,7.8013842E+5,1.6315853E+6, 59.17515325, 57.56429661,  1.61085664
T-27        ,1.5067952E+4,5.9388582E+3, 10.19240816, 18.05065378, 64.50692079, 36.41229894,7.7862198E+5,1.6310034E+6, 61.43887333, 59.38589615,  2.05297719
T-28        ,1.4975637E+4,6.0528944E+3, 10.28488153, 17.95722638, 64.23602403, 37.12499535,7.7711519E+5,1.6304095E+6, 63.69270077, 61.18253862,  2.51016215
T-29        ,1.4887156E+4,6.1617955E+3, 10.37284046, 17.86822659, 63.97979198, 37.80696812,7.7561763E+5,1.6298042E+6, 65.93659874, 62.95515895,  2.98143979
T-30        ,1.4802308E+4,6.2657889E+3, 10.45654111, 17.78344554, 63.73748093, 38.45958174,7.7412891E+5,1.6291880E+6, 68.17053782, 64.70464371,  3.46589411
T-31        ,1.4720901E+4,6.3650921E+3, 10.53622388, 17.70268466, 63.50838544, 39.08413884,7.7264868E+5,1.6285614E+6, 70.39449531, 66.43183385,  3.96266145
T-32        ,1.4642756E+4,6.4599126E+3, 10.61211447, 17.62575519, 63.29184175, 39.68188314,7.7117659E+5,1.6279249E+6, 72.60845454, 68.13752712,  4.47092742
T-33        ,1.4567702E+4,6.5504489E+3, 10.68442482, 17.55247767, 63.08721556, 40.25400217,7.6971231E+5,1.6272789E+6, 74.81240434, 69.82248047,  4.98992387
T-34        ,1.4495579E+4,6.6368905E+3, 10.75335404, 17.48268145, 62.89391295, 40.80162987,7.6825554E+5,1.6266239E+6, 77.00633848, 71.48741226,  5.51892621
T-35        ,1.4426236E+4,6.7194185E+3, 10.81908921, 17.41620427, 62.71137063, 41.32584912,7.6680599E+5,1.6259602E+6, 79.19025518, 73.13300441,  6.05725077
T-36        ,1.4359530E+4,6.7982060E+3, 10.88180619, 17.35289181, 62.53905317, 41.82769407,7.6536336E+5,1.6252882E+6, 81.36415674, 74.75990439,  6.60425235
T-37        ,1.4295324E+4,6.8734181E+3, 10.94167031, 17.29259725, 62.37645187, 42.30815243,7.6392741E+5,1.6246084E+6, 83.52804907, 76.36872710,  7.15932197
T-38        ,1.4233492E+4,6.9452129E+3, 10.99883710, 17.23518095, 62.22308911, 42.76816758,7.6249788E+5,1.6239211E+6, 85.68194145, 77.96005661,  7.72188484
T-39        ,1.4173912E+4,7.0137413E+3, 11.05345286, 17.18051002, 62.07851088, 43.20864065,7.6107453E+5,1.6232266E+6, 87.82584613, 79.53444794,  8.29139819
T-40        ,1.4116470E+4,7.0791476E+3, 11.10565531, 17.12845802, 61.94228652, 43.63043243,7.5965714E+5,1.6225252E+6, 89.95977807, 81.09242856,  8.86734951
T-41        ,1.4061057E+4,7.1415694E+3, 11.15557410, 17.07890456, 61.81400622, 44.03436526,7.5824549E+5,1.6218173E+6, 92.08375470, 82.63449992,  9.44925478
T-42        ,1.4007572E+4,7.2011386E+3, 11.20333132, 17.03173513, 61.69328351, 44.42122476,7.5683938E+5,1.6211031E+6, 94.19779569, 84.16113886, 10.03665683
T-43        ,1.3955917E+4,7.2579809E+3, 11.24904199, 16.98684063, 61.57975208, 44.79176153,7.5543863E+5,1.6203830E+6, 96.30192270, 85.67279897, 10.62912373
T-44        ,1.3906000E+4,7.3122166E+3, 11.29281451, 16.94411720, 61.47306081, 45.14669275,7.5404303E+5,1.6196572E+6, 98.39615924, 87.16991181, 11.22624743
T-45        ,1.3857734E+4,7.3639607E+3, 11.33475107, 16.90346593, 61.37288089, 45.48670369,7.5265243E+5,1.6189260E+6,100.48053046, 88.65288809, 11.82764237
T-46        ,1.3811038E+4,7.4133228E+3, 11.37494803, 16.86479262, 61.27889829, 45.81244917,7.5126666E+5,1.6181896E+6,102.55506303, 90.12211883, 12.43294420
T-47        ,1.3765832E+4,7.4604081E+3, 11.41349627, 16.82800752, 61.19081508, 46.12455495,7.4988556E+5,1.6174483E+6,104.61978496, 91.57797645, 13.04180851
T-48        ,1.3722044E+4,7.5053168E+3, 11.45048156, 16.79302514, 61.10834843, 46.42361906,7.4850897E+5,1.6167022E+6,106.67472549, 93.02081562, 13.65390987
T-49        ,1.3679603E+4,7.5481447E+3, 11.48598484, 16.75976400, 61.03123082, 46.71021300,7.4713677E+5,1.6159517E+6,108.71991497, 94.45097441, 14.26894056
T-50        ,1.3638442E+4,7.5889836E+3, 11.52008254, 16.72814643, 60.95920444, 46.98488301,7.4576881E+5,1.6151969E+6,110.75538475, 95.86877502, 14.88660974
T-51        ,1.3598498E+4,7.6279209E+3, 11.55284684, 16.69809842, 60.89202854, 47.24815116,7.4440497E+5,1.6144380E+6,112.78116711, 97.27452464, 15.50664247
T-52        ,1.3559712E+4,7.6650404E+3, 11.58434591, 16.66954940, 60.82947261, 47.50051647,7.4304512E+5,1.6136752E+6,114.79729513, 98.66851630, 16.12877883
T-53        ,1.3522028E+4,7.7004221E+3, 11.61464421, 16.64243212, 60.77131774, 47.74245592,7.4168914E+5,1.6129087E+6,116.80380264,100.05102960, 16.75277304
T-54        ,1.3485390E+4,7.7341425E+3, 11.64380262, 16.61668241, 60.71735565, 47.97442545,7.4033694E+5,1.6121386E+6,118.80072411,101.42233143, 17.37839268
T-55        ,1.3449749E+4,7.7662745E+3, 11.67187888, 16.59223911, 60.66738869, 48.19686093,7.3898840E+5,1.6113652E+6,120.78809464,102.78267654, 18.00541810
T-56        ,1.3415055E+4,7.7968882E+3, 11.69892715, 16.56904384, 60.62122762, 48.41017901,7.3764343E+5,1.6105886E+6,122.76594985,104.13230833, 18.63364152
T-57        ,1.3381263E+4,7.8260502E+3, 11.72499915, 16.54704095, 60.57869559, 48.61477803,7.3630192E+5,1.6098089E+6,124.73432586,105.47145928, 19.26286657
T-58        ,1.3348329E+4,7.8538245E+3, 11.75014359, 16.52617733, 60.53962223, 48.81103878,7.3496380E+5,1.6090263E+6,126.69325920,106.80035166, 19.89290754
T-59        ,1.3316212E+4,7.8802720E+3, 11.77440661, 16.50640232, 60.50384536, 48.99932535,7.3362896E+5,1.6082409E+6,128.64278680,108.11919795, 20.52358884
T-60        ,1.3284871E+4,7.9054510E+3, 11.79783189, 16.48766755, 60.47120876, 49.17998582,7.3229734E+5,1.6074529E+6,130.58294592,109.42820143, 21.15474448
T-61        ,1.3254271E+4,7.9294174E+3, 11.82046081, 16.46992689, 60.44156744, 49.35335300,7.3096885E+5,1.6066623E+6,132.51377414,110.72755656, 21.78621759
T-62        ,1.3224374E+4,7.9522243E+3, 11.84233253, 16.45313627, 60.41478216, 49.51974510,7.2964343E+5,1.6058694E+6,134.43530930,112.01744953, 22.41785977
T-63        ,1.3195148E+4,7.9739229E+3, 11.86348419, 16.43725367, 60.39071981, 49.67946637,7.2832099E+5,1.6050742E+6,136.34758948,113.29805860, 23.04953088
T-64        ,1.3166561E+4,7.9945617E+3, 11.88395096, 16.42223896, 60.36925391, 49.83280775,7.2700148E+5,1.6042768E+6,138.25065294,114.56955457, 23.68109838
T-65        ,1.3138581E+4,8.0141873E+3, 11.90376618, 16.40805381, 60.35026344, 49.98004741,7.2568482E+5,1.6034773E+6,140.14453815,115.83210114, 24.31243701
T-66        ,1.3111180E+4,8.0328443E+3, 11.92296146, 16.39466163, 60.33363521, 50.12145137,7.2437096E+5,1.6026759E+6,142.02928372,117.08585522, 24.94342850
T-67        ,1.3084330E+4,8.0505751E+3, 11.94156678, 16.38202748, 60.31925813, 50.25727399,7.2305984E+5,1.6018726E+6,143.90492839,118.33096735, 25.57396104
T-68        ,1.3058005E+4,8.0674206E+3, 11.95961055, 16.37011799, 60.30702918, 50.38775852,7.2175141E+5,1.6010676E+6,145.77151100,119.56758194, 26.20392906
T-69        ,1.3032180E+4,8.0834195E+3, 11.97711975, 16.35890128, 60.29685022, 50.51313756,7.2044561E+5,1.6002608E+6,147.62907050,120.79583766, 26.83323284
T-70        ,1.3006832E+4,8.0986091E+3, 11.99411997, 16.34834695, 60.28862595, 50.63363357,7.1914239E+5,1.5994525E+6,149.47764588,122.01586766, 27.46177823
T-71        ,1.2981937E+4,8.1130249E+3, 12.01063547, 16.33842588, 60.28226536, 50.74945925,7.1784171E+5,1.5986426E+6,151.31727621,123.22779991, 28.08947630
T-72        ,1.2957475E+4,8.1267008E+3, 12.02668931, 16.32911033, 60.27768368, 50.86081806,7.1654351E+5,1.5978313E+6,153.14800059,124.43175737, 28.71624322
T-73        ,1.2933424E+4,8.1396694E+3, 12.04230337, 16.32037372, 60.27479953, 50.96790456,7.1524777E+5,1.5970187E+6,154.96985813,125.62785834, 29.34199979
T-74        ,1.2909767E+4,8.1519617E+3, 12.05749842, 16.31219075, 60.27353450, 51.07090479,7.1395442E+5,1.5962047E+6,156.78288797,126.81621657, 29.96667140
T-75        ,1.2886483E+4,8.1636075E+3, 12.07229418, 16.30453715, 60.27381289, 51.16999672,7.1266345E+5,1.5953895E+6,158.58712924,127.99694166, 30.59018759
T-76        ,1.2863555E+4,8.1746350E+3, 12.08670940, 16.29738977, 60.27556612, 51.26535053,7.1137480E+5,1.5945731E+6,160.38262106,129.17013904, 31.21248202
T-77        ,1.2840968E+4,8.1850715E+3, 12.10076188, 16.29072652, 60.27872584, 51.35712900,7.1008844E+5,1.5937557E+6,162.16940254,130.33591034, 31.83349220
T-78        ,1.2818704E+4,8.1949429E+3, 12.11446852, 16.28452623, 60.28322744, 51.44548778,7.0880435E+5,1.5929372E+6,163.94751272,131.49435356, 32.45315916
T-79        ,1.2796749E+4,8.2042740E+3, 12.12784540, 16.27876871, 60.28901041, 51.53057577,7.0752248E+5,1.5921177E+6,165.71699065,132.64556315, 33.07142749
T-80        ,1.2775088E+4,8.2130885E+3, 12.14090780, 16.27343464, 60.29601508, 51.61253536,7.0624280E+5,1.5912972E+6,167.47787528,133.78963030, 33.68824498
T-81        ,1.2753707E+4,8.2214091E+3, 12.15367022, 16.26850555, 60.30418533, 51.69150277,7.0496529E+5,1.5904759E+6,169.23020555,134.92664299, 34.30356256
T-82        ,1.2732594E+4,8.2292574E+3, 12.16614648, 16.26396381, 60.31346850, 51.76760824,7.0368992E+5,1.5896538E+6,170.97402032,136.05668622, 34.91733410
T-83        ,1.2711735E+4,8.2366543E+3, 12.17834970, 16.25979254, 60.32381323, 51.84097637,7.0241666E+5,1.5888309E+6,172.70935836,137.17984213, 35.52951622
T-84        ,1.2691120E+4,8.2436195E+3, 12.19029235, 16.25597562, 60.33517143, 51.91172634,7.0114549E+5,1.5880072E+6,174.43625839,138.29619012, 36.14006827
T-85        ,1.2670736E+4,8.2501719E+3, 12.20198631, 16.25249764, 60.34749571, 51.97997211,6.9987638E+5,1.5871828E+6,176.15475904,139.40580704, 36.74895200
T-86        ,1.2650573E+4,8.2563298E+3, 12.21344286, 16.24934385, 60.36074384, 52.04582271,6.9860930E+5,1.5863578E+6,177.86489885,140.50876719, 37.35613166
T-87        ,1.2630621E+4,8.2621103E+3, 12.22467276, 16.24650016, 60.37487322, 52.10938241,6.9734425E+5,1.5855322E+6,179.56671628,141.60514259, 37.96157369
T-88        ,1.2610870E+4,8.2675301E+3, 12.23568620, 16.24395312, 60.38984387, 52.17075096,6.9608118E+5,1.5847060E+6,181.26024967,142.69500298, 38.56524669
T-89        ,1.2591311E+4,8.2726049E+3, 12.24649292, 16.24168983, 60.40561692, 52.23002374,6.9482010E+5,1.5838792E+6,182.94553729,143.77841598, 39.16712132
T-90        ,1.2571934E+4,8.2773500E+3, 12.25710217, 16.23969798, 60.42215439, 52.28729201,6.9356097E+5,1.5830520E+6,184.62261729,144.85544716, 39.76717012
T-91        ,1.2552732E+4,8.2817798E+3, 12.26752276, 16.23796578, 60.43942212, 52.34264305,6.9230377E+5,1.5822242E+6,186.29152771,145.92616014, 40.36536757
T-92        ,1.2533695E+4,8.2859081E+3, 12.27776306, 16.23648197, 60.45738569, 52.39616033,6.9104850E+5,1.5813960E+6,187.95230648,146.99061670, 40.96168978
T-93        ,1.2514818E+4,8.2897481E+3, 12.28783106, 16.23523579, 60.47601402, 52.44792372,6.8979513E+5,1.5805675E+6,189.60499144,148.04887680, 41.55611464
T-94        ,1.2496091E+4,8.2933126E+3, 12.29773435, 16.23421691, 60.49527673, 52.49800959,6.8854365E+5,1.5797385E+6,191.24962028,149.10099882, 42.14862146
T-95        ,1.2477509E+4,8.2966135E+3, 12.30748016, 16.23341551, 60.51514456, 52.54649099,6.8729404E+5,1.5789091E+6,192.88623060,150.14703942, 42.73919117
T-96        ,1.2459065E+4,8.2996625E+3, 12.31707537, 16.23282216, 60.53558970, 52.59343781,6.8604629E+5,1.5780795E+6,194.51485985,151.18705380, 43.32780605
T-97        ,1.2440752E+4,8.3024706E+3, 12.32652656, 16.23242785, 60.55658611, 52.63891690,6.8480038E+5,1.5772495E+6,196.13554538,152.22109567, 43.91444971
T-98        ,1.2422564E+4,8.3050484E+3, 12.33583996, 16.23222396, 60.57810633, 52.68299217,6.8355631E+5,1.5764193E+6,197.74832440,153.24921732, 44.49910708
T-99        ,1.2404495E+4,8.3074060E+3, 12.34502152, 16.23220223, 60.60012814, 52.72572480,6.8231405E+5,1.5755888E+6,199.35323401,154.27146973, 45.08176428
T-100       ,1.2386541E+4,8.3095530E+3, 12.35407690, 16.23235479, 60.62262770, 52.76717328,6.8107360E+5,1.5747580E+6,200.95031116,155.28790256, 45.66240860
T-101       ,1.2368696E+4,8.3114986E+3, 12.36301151, 16.23267412, 60.64558292, 52.80739356,6.7983495E+5,1.5739271E+6,202.53959268,156.29856431, 46.24102836
T-102       ,1.2350954E+4,8.3132518E+3, 12.37183049, 16.23315297, 60.66897256, 52.84643917,6.7859808E+5,1.5730959E+6,204.12111526,157.30350231, 46.81761295
T-103       ,1.2333312E+4,8.3148209E+3, 12.38053874, 16.23378447, 60.69277636, 52.88436129,6.7736298E+5,1.5722646E+6,205.69491547,158.30276270, 47.39215277
T-104       ,1.2315764E+4,8.3162140E+3, 12.38914092, 16.23456201, 60.71697434, 52.92120890,6.7612965E+5,1.5714331E+6,207.26102973,159.29639065, 47.96463908
T-105       ,1.2298306E+4,8.3174389E+3, 12.39764149, 16.23547927, 60.74154943, 52.95702883,6.7489807E+5,1.5706015E+6,208.81949433,160.28443024, 48.53506409
T-106       ,1.2280935E+4,8.3185028E+3, 12.40604468, 16.23653023, 60.76648314, 52.99186590,6.7366824E+5,1.5697697E+6,210.37034543,161.26692460, 49.10342083
T-107       ,1.2263645E+4,8.3194129E+3, 12.41435453, 16.23770909, 60.79175742, 53.02576294,6.7244015E+5,1.5689379E+6,211.91361903,162.24391595, 49.66970308
T-108       ,1.2246434E+4,8.3201759E+3, 12.42257490, 16.23901032, 60.81735727, 53.05876096,6.7121379E+5,1.5681060E+6,213.44935102,163.21544556, 50.23390546
T-109       ,1.2229298E+4,8.3207983E+3, 12.43070945, 16.24042866, 60.84326726, 53.09089917,6.6998914E+5,1.5672739E+6,214.97757713,164.18155389, 50.79602324
T-110       ,1.2212234E+4,8.3212861E+3, 12.43876168, 16.24195905, 60.86947262, 53.12221506,6.6876621E+5,1.5664419E+6,216.49833294,165.14228058, 51.35605237
T-111       ,1.2195238E+4,8.3216454E+3, 12.44673493, 16.24359664, 60.89596053, 53.15274451,6.6754499E+5,1.5656097E+6,218.01165392,166.09766448, 51.91398944
T-112       ,1.2178307E+4,8.3218817E+3, 12.45463238, 16.24533681, 60.92271533, 53.18252184,6.6632547E+5,1.5647776E+6,219.51757536,167.04774369, 52.46983167
T-113       ,1.2161438E+4,8.3220004E+3, 12.46245705, 16.24717513, 60.94972383, 53.21157986,6.6510763E+5,1.5639454E+6,221.01613244,167.99255556, 53.02357688
T-114       ,1.2144628E+4,8.3220067E+3, 12.47021184, 16.24910734, 60.97697512, 53.23994998,6.6389149E+5,1.5631132E+6,222.50736018,168.93213678, 53.57522339
T-115       ,1.2127875E+4,8.3219055E+3, 12.47789950, 16.25112941, 61.00445693, 53.26766222,6.6267703E+5,1.5622810E+6,223.99129346,169.86652336, 54.12477010
T-116       ,1.2111177E+4,8.3217015E+3, 12.48552265, 16.25323748, 61.03215791, 53.29474529,6.6146424E+5,1.5614488E+6,225.46796701,170.79575068, 54.67221634
T-117       ,1.2094530E+4,8.3213992E+3, 12.49308381, 16.25542781, 61.06006709, 53.32122668,6.6025312E+5,1.5606166E+6,226.93741543,171.71985353, 55.21756190
T-118       ,1.2077932E+4,8.3210029E+3, 12.50058536, 16.25769686, 61.08817454, 53.34713266,6.5904367E+5,1.5597845E+6,228.39967316,172.63886609, 55.76080707
T-119       ,1.2061382E+4,8.3205168E+3, 12.50802958, 16.26004125, 61.11647004, 53.37248837,6.5783588E+5,1.5589524E+6,229.85477450,173.55282197, 56.30195253
T-120       ,1.2044876E+4,8.3199446E+3, 12.51541864, 16.26245769, 61.14494357, 53.39731784,6.5662974E+5,1.5581203E+6,231.30275362,174.46175427, 56.84099934
T-121       ,1.2028414E+4,8.3192903E+3, 12.52275460, 16.26494312, 61.17358655, 53.42164408,6.5542525E+5,1.5572883E+6,232.74364451,175.36569552, 57.37794899
T-122       ,1.2011992E+4,8.3185574E+3, 12.53003945, 16.26749452, 61.20238925, 53.44548907,6.5422241E+5,1.5564564E+6,234.17748105,176.26467781, 57.91280324
T-123       ,1.1995610E+4,8.3177493E+3, 12.53727508, 16.27010908, 61.23134444, 53.46887385,6.5302121E+5,1.5556245E+6,235.60429695,177.15873269, 58.44556427
T-124       ,1.1979265E+4,8.3168693E+3, 12.54446327, 16.27278405, 61.26044536, 53.49181854,6.5182165E+5,1.5547928E+6,237.02412580,178.04789129, 58.97623451
T-125       ,1.1962956E+4,8.3159206E+3, 12.55160574, 16.27551683, 61.28968323, 53.51434239,6.5062372E+5,1.5539611E+6,238.43700102,178.93218427, 59.50481675
T-126       ,1.1946682E+4,8.3149061E+3, 12.55870412, 16.27830495, 61.31905067, 53.53646380,6.4942743E+5,1.5531295E+6,239.84295590,179.81164189, 60.03131401
T-127       ,1.1930440E+4,8.3138287E+3, 12.56575998, 16.28114601, 61.34853995, 53.55820038,6.4823276E+5,1.5522980E+6,241.24202357,180.68629397, 60.55572960
T-128       ,1.1914229E+4,8.3126913E+3, 12.57277480, 16.28403772, 61.37814433, 53.57956897,6.4703972E+5,1.5514666E+6,242.63423702,181.55616994, 61.07806708
T-129       ,1.1898048E+4,8.3114963E+3, 12.57974999, 16.28697790, 61.40785897, 53.60058567,6.4584829E+5,1.5506354E+6,244.01962911,182.42129883, 61.59833028
T-130       ,1.1881896E+4,8.3102463E+3, 12.58668692, 16.28996446, 61.43767710, 53.62126589,6.4465849E+5,1.5498042E+6,245.39823255,183.28170931, 62.11652323
T-131       ,1.1865771E+4,8.3089437E+3, 12.59358687, 16.29299540, 61.46759240, 53.64162436,6.4347030E+5,1.5489732E+6,246.77007988,184.13742972, 62.63265016
T-132       ,1.1849672E+4,8.3075908E+3, 12.60045106, 16.29606881, 61.49759893, 53.66167517,6.4228372E+5,1.5481423E+6,248.13520352,184.98848800, 63.14671552
T-133       ,1.1833598E+4,8.3061898E+3, 12.60728069, 16.29918285, 61.52769204, 53.68143180,6.4109875E+5,1.5473115E+6,249.49363574,185.83491179, 63.65872395
T-134       ,1.1817548E+4,8.3047427E+3, 12.61407685, 16.30233577, 61.55786693, 53.70090713,6.3991539E+5,1.5464809E+6,250.84540867,186.67672841, 64.16868026
T-135       ,1.1801520E+4,8.3032516E+3, 12.62084063, 16.30552588, 61.58811676, 53.72011349,6.3873364E+5,1.5456504E+6,252.19055428,187.51396485, 64.67658943
T-136       ,1.1785515E+4,8.3017184E+3, 12.62757304, 16.30875160, 61.61843799, 53.73906268,6.3755349E+5,1.5448201E+6,253.52910443,188.34664779, 65.18245664
T-137       ,1.1769530E+4,8.3001449E+3, 12.63427505, 16.31201137, 61.64882706, 53.75776596,6.3637494E+5,1.5439899E+6,254.86109079,189.17480366, 65.68628713
T-138       ,1.1753566E+4,8.2985329E+3, 12.64094759, 16.31530375, 61.67927860, 53.77623411,6.3519798E+5,1.5431599E+6,256.18654493,189.99845856, 66.18808637
T-139       ,1.1737620E+4,8.2968840E+3, 12.64759154, 16.31862730, 61.70978758, 53.79447747,6.3402263E+5,1.5423301E+6,257.50549824,190.81763836, 66.68785988
T-140       ,1.1721693E+4,8.2951998E+3, 12.65420774, 16.32198068, 61.74035087, 53.81250587,6.3284886E+5,1.5415004E+6,258.81798200,191.63236861, 67.18561339
T-141       ,1.1705783E+4,8.2934819E+3, 12.66079700, 16.32536261, 61.77096520, 53.83032876,6.3167669E+5,1.5406709E+6,260.12402733,192.44267465, 67.68135268
T-142       ,1.1689891E+4,8.2917316E+3, 12.66736009, 16.32877187, 61.80162622, 53.84795516,6.3050612E+5,1.5398415E+6,261.42366521,193.24858154, 68.17508367
T-143       ,1.1674014E+4,8.2899505E+3, 12.67389773, 16.33220725, 61.83232855, 53.86539369,6.2933713E+5,1.5390123E+6,262.71692647,194.05011414, 68.66681234
T-144       ,1.1658152E+4,8.2881399E+3, 12.68041062, 16.33566763, 61.86307158, 53.88265261,6.2816973E+5,1.5381833E+6,264.00384183,194.84729700, 69.15654483
T-145       ,1.1642306E+4,8.2863009E+3, 12.68689943, 16.33915193, 61.89385107, 53.89973979,6.2700391E+5,1.5373545E+6,265.28444184,195.64015449, 69.64428735
T-146       ,1.1626473E+4,8.2844349E+3, 12.69336478, 16.34265911, 61.92466474, 53.91666279,6.2583968E+5,1.5365259E+6,266.55875691,196.42871078, 70.13004613
T-147       ,1.1610655E+4,8.2825429E+3, 12.69980729, 16.34618820, 61.95550869, 53.93342882,6.2467703E+5,1.5356975E+6,267.82681734,197.21298975, 70.61382759
T-148       ,1.1594849E+4,8.2806262E+3, 12.70622753, 16.34973823, 61.98637837, 53.95004478,6.2351597E+5,1.5348692E+6,269.08865324,197.99301516, 71.09563808
T-149       ,1.1579055E+4,8.2786857E+3, 12.71262605, 16.35330829, 62.01727378, 53.96651726,6.2235648E+5,1.5340411E+6,270.34429463,198.76881049, 71.57548414
T-150       ,1.1563274E+4,8.2767226E+3, 12.71900337, 16.35689751, 62.04819117, 53.98285257,6.2119858E+5,1.5332133E+6,271.59377137,199.54039902, 72.05337235
T-151       ,1.1547504E+4,8.2747377E+3, 12.72535998, 16.36050507, 62.07912812, 53.99905674,6.2004225E+5,1.5323856E+6,272.83711317,200.30780390, 72.52930928
T-152       ,1.1531746E+4,8.2727319E+3, 12.73169637, 16.36413017, 62.11008203, 54.01513554,6.1888750E+5,1.5315581E+6,274.07434964,201.07104803, 73.00330161
T-153       ,1.1515997E+4,8.2707063E+3, 12.73801299, 16.36777203, 62.14105013, 54.03109450,6.1773432E+5,1.5307308E+6,275.30551021,201.83015417, 73.47535604
T-154       ,1.1500260E+4,8.2686616E+3, 12.74431026, 16.37142996, 62.17203055, 54.04693886,6.1658272E+5,1.5299038E+6,276.53062419,202.58514484, 73.94547936
T-155       ,1.1484531E+4,8.2665986E+3, 12.75058861, 16.37510320, 62.20302019, 54.06267369,6.1543270E+5,1.5290769E+6,277.74972077,203.33604245, 74.41367832
